Klasse;Best_Conf;Best_IoU;Best_F1
KLEBER;0.050833333333333335;0.9420286605163138;0.9225874817325631
EDDING;0.255;0.8496105836058336;0.9999999947435898
TACKER;0.6633333333333333;0.9023443835216463;0.679999994896
