epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,582.454,0.75902,0.52524,0.89492,0.98195,0.96344,0.99274,0.77797,0.72297,0.45847,0.88841,0.000254791,0.000254791,0.000254791
85,589.354,0.734,0.52534,0.88879,0.98678,0.96196,0.99136,0.76105,0.76713,0.46597,0.90483,0.000240644,0.000240644,0.000240644
86,595.83,0.76877,0.53235,0.8958,0.98031,0.97643,0.99296,0.75685,0.77995,0.47024,0.9003,0.000226497,0.000226497,0.000226497
87,602.505,0.73995,0.52588,0.88258,0.98116,0.96963,0.99308,0.76098,0.73695,0.46004,0.88375,0.000212349,0.000212349,0.000212349
88,609.56,0.81588,0.57092,0.90344,0.98209,0.97698,0.99041,0.7544,0.76961,0.46618,0.89028,0.000198202,0.000198202,0.000198202
89,616.646,0.73071,0.5116,0.88351,0.97974,0.97773,0.99032,0.77579,0.75017,0.44886,0.88703,0.000184055,0.000184055,0.000184055
90,624.279,0.75786,0.51467,0.89086,0.98072,0.97395,0.99322,0.76882,0.74933,0.44192,0.88858,0.000169908,0.000169908,0.000169908
91,699.331,0.7343,0.5604,0.8819,0.98509,0.97768,0.99092,0.78592,0.74395,0.44115,0.89103,0.000155761,0.000155761,0.000155761
92,706.504,0.7304,0.52946,0.87541,0.99186,0.9677,0.99074,0.80039,0.73053,0.46388,0.88558,0.000141614,0.000141614,0.000141614
93,712.981,0.69265,0.52091,0.85784,0.99029,0.96789,0.99061,0.7717,0.78803,0.47075,0.89907,0.000127467,0.000127467,0.000127467
94,719.459,0.68879,0.49678,0.87338,0.98682,0.96775,0.99065,0.75987,0.80503,0.45689,0.90207,0.00011332,0.00011332,0.00011332
95,725.783,0.67018,0.49578,0.86929,0.98626,0.96834,0.98883,0.76309,0.73448,0.44568,0.88289,9.91726e-05,9.91726e-05,9.91726e-05
96,732.251,0.68605,0.50459,0.8642,0.9882,0.96949,0.9893,0.76152,0.73364,0.44024,0.8823,8.50255e-05,8.50255e-05,8.50255e-05
97,738.859,0.67089,0.49843,0.86775,0.98895,0.96966,0.98929,0.76244,0.76079,0.44766,0.88943,7.08784e-05,7.08784e-05,7.08784e-05
98,745.662,0.67078,0.5079,0.8822,0.991,0.96934,0.98909,0.77267,0.74126,0.44187,0.8867,5.67313e-05,5.67313e-05,5.67313e-05
99,752.03,0.64509,0.49805,0.85329,0.99115,0.96957,0.98907,0.77455,0.72942,0.43908,0.88598,4.25842e-05,4.25842e-05,4.25842e-05
100,758.514,0.65407,0.49257,0.87047,0.99191,0.96855,0.9892,0.7745,0.73005,0.43522,0.88591,2.84371e-05,2.84371e-05,2.84371e-05
