epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.4115,0.6502,0.69795,0.956,0.97105,0.83253,0.90999,0.76504,0.65559,0.54507,0.93331,0.000848969,0.000848969,0.000848969
43,89.3733,0.6483,0.66425,0.96599,0.95904,0.8146,0.89864,0.75638,0.66926,0.59705,0.92105,0.000834822,0.000834822,0.000834822
44,91.3086,0.57843,0.61997,0.92353,0.986,0.84378,0.91344,0.79831,0.58679,0.53537,0.90415,0.000820675,0.000820675,0.000820675
45,93.1825,0.56797,0.59982,0.92258,0.91938,0.84329,0.90191,0.78376,0.55512,0.55526,0.92125,0.000806528,0.000806528,0.000806528
46,95.0991,0.56909,0.62737,0.92759,0.92145,0.84536,0.87809,0.78718,0.49302,0.61615,0.87847,0.00079238,0.00079238,0.00079238
47,96.9911,0.56184,0.59683,0.92527,0.99341,0.81707,0.90036,0.79178,0.60972,0.58578,0.92151,0.000778233,0.000778233,0.000778233
48,98.9108,0.55327,0.58829,0.92306,0.98674,0.81707,0.8997,0.79322,0.57695,0.50887,0.89321,0.000764086,0.000764086,0.000764086
49,100.796,0.5375,0.58693,0.90546,0.99132,0.84872,0.91965,0.8322,0.47255,0.485,0.85951,0.000749939,0.000749939,0.000749939
50,102.657,0.55337,0.60009,0.94055,0.99247,0.84588,0.90646,0.79488,0.52303,0.519,0.88371,0.000735792,0.000735792,0.000735792
51,104.644,0.53793,0.57522,0.93162,0.96495,0.84453,0.92382,0.84695,0.45365,0.48338,0.85336,0.000721645,0.000721645,0.000721645
52,106.619,0.50061,0.53511,0.90755,0.98022,0.84366,0.92078,0.8346,0.45368,0.49481,0.85995,0.000707498,0.000707498,0.000707498
53,108.664,0.54395,0.57388,0.94173,0.97875,0.86201,0.922,0.83773,0.48623,0.46813,0.87038,0.000693351,0.000693351,0.000693351
54,110.738,0.51719,0.54608,0.91304,0.96902,0.87576,0.93441,0.84158,0.47686,0.43291,0.87045,0.000679204,0.000679204,0.000679204
55,112.621,0.5264,0.54594,0.92477,0.98683,0.87346,0.91786,0.81177,0.52042,0.475,0.87782,0.000665057,0.000665057,0.000665057
56,114.469,0.54218,0.55457,0.93029,0.97605,0.84002,0.9017,0.82296,0.42829,0.47849,0.84467,0.000650909,0.000650909,0.000650909
57,116.425,0.50031,0.52008,0.90415,0.97328,0.83911,0.924,0.82538,0.47354,0.47892,0.85093,0.000636762,0.000636762,0.000636762
58,118.301,0.49143,0.50651,0.88968,0.99735,0.8657,0.93357,0.84035,0.47931,0.45567,0.84722,0.000622615,0.000622615,0.000622615
59,120.2,0.51389,0.52102,0.91076,0.97395,0.87531,0.93416,0.81693,0.55641,0.45768,0.88493,0.000608468,0.000608468,0.000608468
60,122.168,0.52383,0.50631,0.91571,1,0.8732,0.93641,0.84983,0.47242,0.41721,0.85802,0.000594321,0.000594321,0.000594321
61,124.048,0.50233,0.5038,0.90434,0.98539,0.86749,0.93665,0.84244,0.47772,0.43562,0.85873,0.000580174,0.000580174,0.000580174
62,125.904,0.50137,0.50067,0.91202,0.96832,0.81814,0.91885,0.83812,0.41116,0.48514,0.84609,0.000566027,0.000566027,0.000566027
63,127.865,0.49967,0.50067,0.91877,0.98459,0.85559,0.90997,0.8245,0.45074,0.4622,0.85322,0.00055188,0.00055188,0.00055188
64,129.854,0.45704,0.50324,0.88838,0.98426,0.87279,0.91474,0.81364,0.4828,0.46794,0.86526,0.000537733,0.000537733,0.000537733
65,131.793,0.44825,0.46601,0.89413,0.98492,0.86361,0.93076,0.87049,0.38536,0.40252,0.84707,0.000523586,0.000523586,0.000523586
66,133.709,0.50671,0.50859,0.91833,0.98657,0.87689,0.94018,0.86276,0.44196,0.38769,0.84464,0.000509438,0.000509438,0.000509438
67,135.548,0.46965,0.51047,0.90067,0.9858,0.91327,0.9514,0.88329,0.40631,0.37429,0.83959,0.000495291,0.000495291,0.000495291
68,137.585,0.48816,0.48393,0.89755,0.97523,0.89104,0.94561,0.88383,0.37597,0.33795,0.82801,0.000481144,0.000481144,0.000481144
69,139.594,0.42547,0.44835,0.89284,0.97244,0.87601,0.94403,0.86575,0.41939,0.36432,0.84723,0.000466997,0.000466997,0.000466997
70,141.45,0.47576,0.47849,0.9115,0.99147,0.86298,0.94112,0.86535,0.41461,0.40202,0.85485,0.00045285,0.00045285,0.00045285
71,143.412,0.50727,0.48785,0.92081,0.99301,0.87276,0.9402,0.87713,0.37105,0.37716,0.8368,0.000438703,0.000438703,0.000438703
72,145.318,0.49582,0.47364,0.91357,0.95925,0.90904,0.94864,0.87395,0.37686,0.35972,0.83695,0.000424556,0.000424556,0.000424556
73,147.225,0.43691,0.47429,0.87944,0.96052,0.9188,0.94473,0.85085,0.45035,0.34621,0.84849,0.000410409,0.000410409,0.000410409
74,149.112,0.4396,0.45588,0.88478,0.95946,0.9188,0.9534,0.89312,0.39303,0.3529,0.84255,0.000396262,0.000396262,0.000396262
75,151.138,0.46567,0.46699,0.8879,0.98539,0.88177,0.94624,0.86709,0.39746,0.34242,0.84417,0.000382115,0.000382115,0.000382115
76,153.286,0.38923,0.4116,0.87355,0.97535,0.9188,0.94926,0.85097,0.41215,0.34486,0.84946,0.000367967,0.000367967,0.000367967
77,155.361,0.39439,0.41104,0.86428,0.97792,0.9188,0.94044,0.86469,0.38728,0.35665,0.83782,0.00035382,0.00035382,0.00035382
78,157.395,0.40733,0.41929,0.87614,0.98727,0.9188,0.94439,0.866,0.39579,0.35232,0.84505,0.000339673,0.000339673,0.000339673
79,159.462,0.40531,0.43083,0.87191,0.97351,0.9188,0.94812,0.89138,0.35266,0.34768,0.83181,0.000325526,0.000325526,0.000325526
80,161.619,0.40107,0.40644,0.87888,0.99379,0.87429,0.94887,0.87131,0.4085,0.36574,0.83627,0.000311379,0.000311379,0.000311379
81,163.812,0.41536,0.42191,0.88281,0.99508,0.87204,0.94634,0.91614,0.28902,0.33924,0.81193,0.000297232,0.000297232,0.000297232
82,165.737,0.41048,0.44074,0.869,0.98969,0.92825,0.94561,0.87467,0.40449,0.32711,0.83292,0.000283085,0.000283085,0.000283085
83,167.753,0.39644,0.41972,0.87589,0.99571,0.91954,0.94445,0.90357,0.30331,0.32795,0.81456,0.000268938,0.000268938,0.000268938
84,169.644,0.38199,0.40395,0.86552,0.99234,0.92419,0.93881,0.90122,0.30064,0.33966,0.81343,0.000254791,0.000254791,0.000254791
85,171.474,0.38782,0.42253,0.88382,0.9882,0.9291,0.94876,0.89125,0.33937,0.32853,0.81899,0.000240644,0.000240644,0.000240644
86,173.438,0.35854,0.39017,0.86274,0.98785,0.92972,0.95731,0.90446,0.27284,0.30415,0.81226,0.000226497,0.000226497,0.000226497
87,175.331,0.38631,0.40643,0.87893,0.9909,0.92821,0.95164,0.91581,0.27664,0.3028,0.81214,0.000212349,0.000212349,0.000212349
88,177.243,0.36822,0.40341,0.87244,0.97524,0.9188,0.94278,0.92148,0.29213,0.30084,0.81377,0.000198202,0.000198202,0.000198202
89,179.088,0.36333,0.37995,0.86395,0.99465,0.92554,0.9427,0.91736,0.30305,0.3014,0.81526,0.000184055,0.000184055,0.000184055
90,180.9,0.32784,0.37571,0.85835,0.99593,0.92318,0.94385,0.9163,0.29462,0.29188,0.81484,0.000169908,0.000169908,0.000169908
91,212.527,0.28956,0.3765,0.80183,0.99749,0.92562,0.94524,0.9159,0.28768,0.29221,0.81297,0.000155761,0.000155761,0.000155761
92,214.429,0.29436,0.35622,0.79816,0.99814,0.92798,0.95139,0.9196,0.26311,0.29126,0.80457,0.000141614,0.000141614,0.000141614
93,216.226,0.2557,0.34336,0.78364,0.99501,0.92226,0.95271,0.91336,0.31828,0.30006,0.80969,0.000127467,0.000127467,0.000127467
94,218.101,0.26901,0.34115,0.78781,0.98235,0.92656,0.95216,0.91938,0.27851,0.29544,0.80195,0.00011332,0.00011332,0.00011332
95,219.995,0.24359,0.31587,0.7862,0.9795,0.9271,0.95111,0.92132,0.27128,0.28801,0.80076,9.91726e-05,9.91726e-05,9.91726e-05
96,221.951,0.24237,0.31615,0.78408,0.98042,0.92689,0.95103,0.9224,0.29142,0.2904,0.80524,8.50255e-05,8.50255e-05,8.50255e-05
97,223.851,0.21686,0.30189,0.78013,0.98307,0.92712,0.9517,0.92478,0.26199,0.27515,0.80254,7.08784e-05,7.08784e-05,7.08784e-05
98,225.743,0.21354,0.29717,0.76738,0.98526,0.92736,0.95196,0.92392,0.25216,0.27041,0.80188,5.67313e-05,5.67313e-05,5.67313e-05
99,227.782,0.23394,0.30443,0.779,0.99598,0.92072,0.9521,0.92154,0.25092,0.26837,0.8031,4.25842e-05,4.25842e-05,4.25842e-05
100,229.71,0.20989,0.29904,0.78666,0.9961,0.92272,0.94911,0.92431,0.24619,0.26725,0.80176,2.84371e-05,2.84371e-05,2.84371e-05
1,9.1906,2.99646,5.29619,2.25945,0.00103,0.25265,0.00098,0.00043,3.06844,4.06474,1.99837,8.574e-05,8.574e-05,8.574e-05
2,16.8861,2.56212,4.91096,1.89546,0.00134,0.21392,0.02042,0.00762,2.211,3.96611,1.57151,0.000183931,0.000183931,0.000183931
3,24.2854,2.00285,4.04249,1.50887,0.00244,0.36044,0.08757,0.04016,1.7748,3.92932,1.34068,0.000280141,0.000280141,0.000280141
4,32.6686,1.95125,3.38748,1.48763,0.00226,0.33004,0.14673,0.06495,1.59712,3.84208,1.25122,0.000374371,0.000374371,0.000374371
5,39.7785,1.84199,2.68316,1.36828,0.00178,0.26154,0.13482,0.04836,1.94465,3.75733,1.41777,0.00046662,0.00046662,0.00046662
6,46.8109,1.73747,2.37395,1.32244,0.00191,0.21795,0.13187,0.07488,1.65769,3.52347,1.23707,0.000556888,0.000556888,0.000556888
7,54.1993,1.64319,2.1006,1.25965,0.00253,0.31209,0.232,0.13999,1.47425,3.47055,1.14511,0.000645176,0.000645176,0.000645176
8,61.0687,1.60642,1.98805,1.27132,0.00317,0.40806,0.27628,0.14832,1.55399,3.40049,1.19246,0.000731484,0.000731484,0.000731484
